Keyword,Intent Category,Language,Target Audience,Search Funnel,Estimated Monthly Volume,SERP Difficulty,Target Page URL,Priority Score
recruitment agency sri lanka,Commercial,English,Employers / HR Directors,Bottom of Funnel (BoFu),1000-5000,Medium,/recruitment-agency-sri-lanka/,High
recruitment agencies in sri lanka,Commercial,English,Employers / HR Directors,BoFu,1000-5000,Medium,/recruitment-agency-sri-lanka/,High
executive search sri lanka,Commercial,English,Founders / MDs / C-Suite,BoFu,100-500,Medium,/executive-search-sri-lanka/,High
headhunters sri lanka,Commercial,English,Corporate Leadership,BoFu,100-500,Medium,/,High
staffing agency sri lanka,Commercial,English,HR / Operations,BoFu,500-1000,Medium,/recruitment-agency-sri-lanka/,Medium
ceo recruitment sri lanka,Commercial,English,Board / Chairmen,BoFu,10-50,Low,/ceo-recruitment-sri-lanka/,High
confidential recruitment sri lanka,Commercial,English,Board / Corporate Execs,BoFu,10-50,Low,/confidential-recruitment/,High
confidential executive search colombo,Commercial,English,Corporate Leadership,BoFu,10-50,Low,/confidential-recruitment/,High
finance recruitment agency sri lanka,Commercial,English,CFOs / Finance Directors,BoFu,50-100,Low,/finance-recruitment-sri-lanka/,High
legal recruitment sri lanka,Commercial,English,General Counsels / Law Partners,BoFu,10-50,Low,/legal-recruitment-sri-lanka/,High
hr recruitment agencies colombo,Commercial,English,HR Executives,BoFu,50-100,Low,/hr-recruitment-sri-lanka/,Medium
hire staff sri lanka,Commercial,English,Foreign & Local Companies,Mid-Funnel (MoFu),100-500,Medium,/employers/,High
talent acquisition colombo,Commercial,English,Enterprise HR,MoFu,50-100,Low,/employers/,Medium
jobs in sri lanka,Transactional,English,Job Seekers,Top of Funnel (ToFu),10000+,High,/jobs/,Medium
job vacancies colombo,Transactional,English,Job Seekers,ToFu,5000-10000,High,/jobs/,Medium
executive jobs sri lanka,Transactional,English,Senior Professionals,MoFu,500-1000,Medium,/jobs/executive/,High
finance jobs sri lanka,Transactional,English,Finance Professionals,MoFu,1000-5000,High,/jobs/finance/,High
legal counsel jobs colombo,Transactional,English,Legal Professionals,MoFu,50-100,Low,/jobs/legal/,Medium
submit cv recruitment agency sri lanka,Transactional,English,Job Seekers,BoFu,100-500,Low,/candidates/,High
register cv colombo headhunters,Transactional,English,Executives,BoFu,50-100,Low,/candidates/,High
how executive search works in sri lanka,Informational,English,Business Leaders,ToFu,10-50,Low,/insights/how-executive-search-works/,High
recruitment agency fees sri lanka,Informational,English,Employers / HR,MoFu,50-100,Low,/insights/recruitment-agency-fees-sri-lanka/,High
retained vs contingency search sri lanka,Informational,English,Corporate Buyers,MoFu,10-50,Low,/insights/retained-vs-contingency-search/,High
how to hire c-level executives colombo,Informational,English,Founders / Boards,MoFu,10-50,Low,/insights/ceo-recruitment-confidential/,High
do recruitment agencies charge candidates in sri lanka,Informational,English,Job Seekers,ToFu,50-100,Low,/candidates/#faq,Medium
sri lanka recruitment agency contact number,Transactional,English,Employers / Candidates,BoFu,50-100,Low,/contact/,High
shramika niyantha aayathana sri lanka,Informational,Sinhala (Latin script),Job Seekers,ToFu,100-500,Low,/candidates/,Low
shrama balakaya colombo,Informational,Sinhala (Latin script),Corporate / Candidate,ToFu,50-100,Low,/about/,Low
velai vaippu colombo,Transactional,Tamil (Latin script),Job Seekers,ToFu,100-500,Low,/jobs/,Low
colombo head hunters address,Branded,English,General,BoFu,10-50,Low,/contact/,High
